sum,cmy,label,label_30
25.3,16.97,1500,4
19.86,14.33,1500,18
22.49,16.27,1500,13
22.81,16.8,1500,25
15.54,10.56,1000,26
14.47,10.379999999999999,1000,6
15.75,10.47,1000,26
15.85,11.09,1000,14
14.79,10.96,1000,26
16.24,11.129999999999999,1000,14
20.58,13.370000000000001,1500,18
16.98,11.65,1500,22
21.130000000000003,14.600000000000001,1500,5
20.16,13.129999999999999,1500,18
17.35,11.46,1500,22
17.93,10.74,1000,14
21.0,13.200000000000001,1500,18
20.26,13.870000000000001,1500,18
23.12,15.86,1500,13
19.8,12.63,1500,1
18.26,11.200000000000001,1500,22
17.89,11.11,1500,22
18.22,11.1,1500,22
18.56,11.75,1500,22
18.3,11.66,1500,22
13.239999999999998,8.85,1000,12
13.37,8.74,1000,12
16.4,10.72,1000,14
17.650000000000002,11.540000000000001,1500,22
16.38,11.36,1000,14
17.67,11.84,1500,22
15.61,10.51,1000,26
14.8,10.52,1000,26
16.060000000000002,10.73,1000,14
18.9,11.88,1500,1
19.59,11.94,1500,1
22.28,14.07,1500,5
18.13,11.85,1500,22
59.75,43.56,2000,8
0.06,0.0,500,19
7.02,1.69,500,3
6.08,1.7,500,3
5.08,1.5300000000000002,500,28
6.61,1.78,500,3
6.17,1.77,500,3
6.32,1.75,500,3
5.82,1.6400000000000001,500,3
6.44,1.75,500,3
7.05,1.8,500,3
7.15,1.85,500,3
6.449999999999999,1.73,500,3
6.64,1.79,500,3
5.54,1.6099999999999999,500,3
6.41,1.75,500,3
6.69,1.75,500,3
6.64,1.79,500,3
6.28,1.71,500,3
6.84,1.81,500,3
6.16,1.67,500,3
6.5200000000000005,1.78,500,3
6.83,1.77,500,3
6.58,1.78,500,3
5.91,1.63,500,3
19.2,12.37,1500,1
18.72,12.71,1500,1
19.05,12.49,1500,1
19.75,12.59,1500,1
19.85,12.850000000000001,1500,1
18.75,12.58,1500,1
19.17,12.38,1500,1
19.48,12.899999999999999,1500,1
18.82,12.79,1500,1
19.38,12.76,1500,1
20.03,13.02,1500,18
18.96,12.75,1500,1
19.11,12.36,1500,1
19.52,12.919999999999998,1500,1
18.83,12.770000000000001,1500,1
