converting_time,page,dpi,c,m,y,k,sum,base_minus_curr_sum,diff,options,label
0.1837859153747558,59,300,0.405,0.66,1.3800000000000001,5.27,7.715,0.0,0.0,default,0
0.162996768951416,60,300,0.405,0.54,1.29,4.26,6.495,0.0,0.0,default,0
0.1716632843017578,61,300,0.405,0.6000000000000001,1.335,4.71,7.05,0.0,0.0,default,0
0.1800100803375244,62,300,0.405,0.645,1.3800000000000001,5.18,7.609999999999999,0.0,0.0,default,0
0.1723201274871826,63,300,0.405,0.5700000000000001,1.32,4.64,6.935,0.0,0.0,default,0
0.1651654243469238,64,300,0.405,0.54,1.29,4.31,6.545,0.0,0.0,default,0
0.1682536602020263,65,300,0.405,0.5549999999999999,1.305,4.45,6.715,0.0,0.0,default,0
0.1765875816345214,66,300,0.405,0.615,1.35,4.93,7.3,0.0,0.0,default,0
0.1685714721679687,67,300,0.405,0.54,1.305,4.42,6.67,0.0,0.0,default,0
0.0835824012756347,68,300,0.0,0.0,0.0,0.06,0.06,0.0,0.0,default,0
0.1705851554870605,69,300,0.405,0.27,1.095,2.37,4.140000000000001,0.0,0.0,default,0
0.1580791473388672,70,300,0.405,0.405,1.185,3.3,5.295,0.0,0.0,default,0
0.1522738933563232,71,300,0.405,0.405,1.2000000000000002,3.4,5.41,0.0,0.0,default,0
0.1097569465637207,72,300,0.405,0.09,0.96,1.0,2.455,0.0,0.0,default,0
0.2374529838562011,73,300,3.315,0.28500000000000003,9.209999999999999,5.11,17.919999999999998,0.0,0.0,default,4
0.2484440803527832,74,300,3.375,0.42000000000000004,9.42,6.43,19.645,0.0,0.0,default,4
1.3009085655212402,75,300,18.96,2.25,33.135,14.34,68.685,0.0,0.0,default,3
0.0501484870910644,76,300,0.0,0.0,0.0,0.06,0.06,0.0,0.0,default,0
0.1785449981689453,77,300,0.495,0.615,1.4849999999999999,4.94,7.535,0.0,0.0,default,0
0.1484208106994629,78,300,0.54,0.585,1.5150000000000001,4.78,7.42,0.0,0.0,default,0
0.1413290500640869,79,300,0.495,0.6000000000000001,1.47,4.85,7.415,0.0,0.0,default,0
0.1417710781097412,80,300,0.54,0.5549999999999999,1.5,4.52,7.114999999999999,0.0,0.0,default,0
0.1366245746612548,81,300,0.495,0.5549999999999999,1.44,4.45,6.9399999999999995,0.0,0.0,default,0
0.2220351696014404,82,300,5.025,0.39,14.28,6.83,26.525,0.0,0.0,default,1
0.2130334377288818,83,300,4.92,0.34500000000000003,14.04,6.45,25.755,0.0,0.0,default,1
0.2082827091217041,84,300,4.7700000000000005,0.39,13.575000000000001,6.86,25.595,0.0,0.0,default,1
0.1488151550292968,85,300,4.11,0.22499999999999998,11.850000000000001,4.42,20.605000000000004,0.0,0.0,default,4
0.2057399749755859,86,300,6.074999999999999,0.375,17.22,7.17,30.839999999999996,0.0,0.0,default,1
0.1762928962707519,87,300,5.865,0.28500000000000003,16.665,6.6,29.415,0.0,0.0,default,1
0.1771326065063476,88,300,6.0,0.27,16.965,6.54,29.775,0.0,0.0,default,1
0.1678893566131591,89,300,5.955,0.24,16.815,6.17,29.18,0.0,0.0,default,1
0.1717312335968017,90,300,5.865,0.27,16.605,6.4,29.14,0.0,0.0,default,1
0.1214046478271484,91,300,4.365,0.195,12.585,4.32,21.465000000000003,0.0,0.0,default,4
0.1887235641479492,92,300,5.745,0.42000000000000004,16.32,7.31,29.794999999999998,0.0,0.0,default,1
0.4767053127288818,93,300,5.58,0.315,15.870000000000001,6.67,28.435000000000002,0.0,0.0,default,1
0.1867311000823974,94,300,5.64,0.30000000000000004,15.93,6.59,28.459999999999997,0.0,0.0,default,1
0.1831445693969726,95,300,5.699999999999999,0.28500000000000003,16.11,6.41,28.505,0.0,0.0,default,1
0.1839706897735595,96,300,5.625,0.30000000000000004,15.885,6.51,28.32,0.0,0.0,default,1
0.1375403404235839,97,300,4.275,0.24,12.299999999999999,4.73,21.544999999999998,0.0,0.0,default,4
0.2074165344238281,98,300,5.3549999999999995,0.34500000000000003,15.059999999999999,6.84,27.599999999999998,0.0,0.0,default,1
0.1890840530395507,99,300,5.445,0.33,15.345,6.89,28.01,0.0,0.0,default,1
0.1553351879119873,100,300,4.7700000000000005,0.24,13.395,5.35,23.755000000000003,0.0,0.0,default,1
0.1821584701538086,101,300,4.050000000000001,0.27,11.385,5.46,21.165,0.0,0.0,default,4
0.2103922367095947,102,300,5.055,0.39,14.22,6.68,26.345,0.0,0.0,default,1
0.187910795211792,103,300,5.295,0.27,14.835,6.32,26.72,0.0,0.0,default,1
0.1880998611450195,104,300,5.385,0.28500000000000003,15.044999999999998,6.43,27.144999999999996,0.0,0.0,default,1
0.1840167045593261,105,300,5.295,0.27,14.835,6.29,26.689999999999998,0.0,0.0,default,1
0.1817414760589599,106,300,5.324999999999999,0.255,14.865,6.23,26.675,0.0,0.0,default,1
0.1809570789337158,107,300,5.295,0.255,14.805,6.16,26.515,0.0,0.0,default,1
0.1703474521636963,108,300,4.995,0.255,13.98,5.8,25.03,0.0,0.0,default,1
0.1707384586334228,109,300,4.9799999999999995,0.255,13.950000000000001,5.8,24.985000000000003,0.0,0.0,default,1
0.184814453125,110,300,5.324999999999999,0.28500000000000003,14.879999999999999,6.42,26.909999999999997,0.0,0.0,default,1
0.1868646144866943,111,300,5.34,0.28500000000000003,14.955000000000002,6.46,27.040000000000003,0.0,0.0,default,1
0.1833486557006836,112,300,5.324999999999999,0.27,14.879999999999999,6.37,26.845,0.0,0.0,default,1
0.1815633773803711,113,300,5.28,0.27,14.79,6.27,26.61,0.0,0.0,default,1
0.1810414791107177,114,300,5.324999999999999,0.27,14.850000000000001,6.26,26.705,0.0,0.0,default,1
0.1698987483978271,115,300,4.949999999999999,0.255,13.905,5.84,24.95,0.0,0.0,default,1
0.1686141490936279,116,300,5.025,0.24,13.995000000000001,5.67,24.93,0.0,0.0,default,1
0.1813409328460693,117,300,5.295,0.27,14.805,6.2,26.569999999999997,0.0,0.0,default,1
0.1836874485015869,118,300,5.385,0.255,15.015,6.28,26.935000000000002,0.0,0.0,default,1
0.1801767349243164,119,300,5.295,0.255,14.805,6.16,26.515,0.0,0.0,default,1
0.1787409782409668,120,300,5.324999999999999,0.255,14.835,6.11,26.525,0.0,0.0,default,1
