k,sum,cmy,label,old_label
5.56,16.529999999999998,16.455,1000,11
4.6,13.98,14.069999999999999,1000,38
5.44,15.580000000000002,15.21,1000,11
5.06,15.23,15.254999999999999,1000,39
5.05,14.95,14.850000000000001,1000,39
4.97,15.13,15.24,1000,39
4.99,14.85,14.79,1000,39
4.0,11.67,11.504999999999999,1000,33
5.38,15.63,15.375,1000,11
5.43,15.75,15.48,1000,11
5.41,15.61,15.3,1000,11
5.44,15.71,15.405,1000,11
4.69,13.69,13.5,1000,38
5.43,15.7,15.405,1000,11
4.48,13.53,13.575000000000001,1000,38
4.7,14.05,14.024999999999999,1000,38
4.61,13.9,13.934999999999999,1000,38
5.11,15.4,15.434999999999999,1000,39
5.52,15.73,15.315000000000001,1000,11
5.37,15.4,15.044999999999998,1000,11
5.37,15.830000000000002,15.690000000000001,1000,11
0.06,0.06,0.0,500,27
21.36,72.8,77.16,2000,24
0.06,0.06,0.0,500,27
5.47,7.3,2.745,500,36
5.39,7.26,2.805,500,36
5.54,7.390000000000001,2.7750000000000004,500,36
5.1,6.92,2.73,500,37
4.95,6.71,2.64,500,37
5.23,7.07,2.7600000000000002,500,36
4.58,6.29,2.565,500,37
4.81,6.58,2.6550000000000002,500,37
4.75,6.49,2.61,500,37
5.22,7.06,2.7600000000000002,500,36
1.18,2.35,1.755,500,34
6.22,15.93,14.565000000000001,1000,9
6.74,18.22,17.22,1500,8
7.05,19.66,18.915,1500,3
6.44,16.39,14.924999999999999,1000,30
6.15,16.58,15.645,1000,9
7.1,19.76,18.990000000000002,1500,3
6.0,16.1,15.149999999999999,1000,9
5.85,16.43,15.870000000000001,1000,9
6.43,19.01,18.87,1500,8
5.99,15.68,14.535000000000002,1000,9
5.56,15.419999999999998,14.79,1000,11
5.55,16.580000000000002,16.545,1000,11
6.67,17.07,15.600000000000001,1000,30
6.69,16.8,15.165,1000,30
6.06,16.169999999999998,15.165,1000,9
5.91,15.91,15.0,1000,9
4.51,12.18,11.504999999999999,1000,38
3.35,8.99,8.46,750,18
3.11,8.5,8.084999999999999,750,18
5.93,14.71,13.170000000000002,1000,9
5.63,14.36,13.095,1000,9
5.03,13.71,13.02,1000,19
4.91,13.54,12.944999999999999,1000,19
5.9,14.51,12.915,1000,9
5.93,14.6,13.004999999999999,1000,9
4.95,13.52,12.855,1000,19
4.69,12.8,12.165,1000,19
3.99,11.96,11.955000000000002,1000,33
3.84,11.57,11.595,1000,33
4.69,12.04,11.024999999999999,1000,38
4.54,12.6,12.09,1000,38
4.03,12.0,11.955000000000002,1000,33
3.89,11.62,11.595,1000,33
4.54,11.9,11.04,1000,38
4.62,12.69,12.105,1000,38
4.08,12.07,11.985,1000,33
3.93,11.64,11.564999999999998,1000,33
4.44,11.8,11.040000000000001,1000,38
7.58,25.6,27.03,1500,5
7.45,25.13,26.52,1500,5
6.02,17.509999999999998,17.235,1000,9
5.91,17.35,17.160000000000004,1000,9
3.9,12.06,12.24,1000,33
4.32,11.6,10.92,1000,38
8.34,24.57,24.345,1500,16
4.98,13.88,13.349999999999998,1000,19
4.89,13.44,12.825000000000001,1000,19
4.66,13.33,13.004999999999999,1000,38
4.95,14.12,13.754999999999999,1000,19
4.76,13.17,12.615,1000,19
4.88,13.38,12.75,1000,19
4.8,12.97,12.254999999999999,1000,19
4.98,13.66,13.02,1000,19
4.9,13.55,12.975000000000001,1000,19
4.94,13.510000000000002,12.855,1000,19
5.35,13.06,11.564999999999998,1000,19
5.03,13.240000000000002,12.315000000000001,1000,19
4.85,13.04,12.285000000000002,1000,19
4.82,12.94,12.18,1000,19
5.27,13.67,12.600000000000001,1000,19
3.09,9.1,9.015,750,18
3.09,9.03,8.91,750,18
2.89,8.440000000000001,8.325000000000001,750,18
24.04,99.0,112.44000000000001,2000,4
0.06,0.06,0.0,500,27
5.34,7.17,2.745,500,36
5.72,15.77,15.075000000000001,1000,11
5.98,15.86,14.819999999999999,1000,9
5.67,15.72,15.075000000000001,1000,11
5.33,15.58,15.375,1000,11
6.16,18.78,18.93,1500,1
6.47,18.94,18.705,1500,8
5.46,15.6,15.21,1000,11
5.86,15.81,14.924999999999999,1000,9
5.7,14.44,13.11,1000,9
6.12,15.27,13.725000000000001,1000,9
6.07,16.71,15.96,1000,9
5.49,16.05,15.84,1000,11
4.05,10.89,10.26,1000,33
4.59,6.22,2.445,500,37
5.17,7.01,2.7600000000000002,500,36
4.66,6.3100000000000005,2.4749999999999996,500,37
4.98,6.800000000000001,2.73,500,37
1.26,2.37,1.6649999999999998,500,34
0.06,0.06,0.0,500,27
4.08,7.37,4.9350000000000005,500,13
3.81,7.050000000000001,4.86,500,13
0.06,0.06,0.0,500,27
46.77,157.46,166.035,2000,35
11.44,11.44,0.0,750,14
5.72,5.72,0.0,500,36
11.49,34.47,34.47,1500,22
1.33,5.11,5.67,500,34
11.86,71.14,88.92,2000,10
5.63,18.8,19.755,1500,0
