sum,label
152.05,3
0.09,2
16.3,0
3.1,2
4.25,2
1.61,2
5.82,2
29.909999999999997,4
59.42,5
0.09,2
7.369999999999999,2
6.550000000000001,2
5.63,2
0.09,2
4.95,2
6.0,2
5.180000000000001,2
6.140000000000001,2
5.92,2
6.390000000000001,2
6.25,2
6.09,2
5.7,2
6.42,2
5.86,2
6.0200000000000005,2
5.8100000000000005,2
6.37,2
5.86,2
6.37,2
5.93,2
5.880000000000001,2
6.38,2
5.7,2
5.97,2
6.640000000000001,2
5.7,2
5.82,2
5.550000000000001,2
6.41,2
5.5600000000000005,2
0.09,2
3.42,2
5.06,2
4.82,2
2.44,2
13.44,0
14.35,0
54.42,5
0.09,2
6.4399999999999995,2
6.44,2
6.209999999999999,2
6.16,2
5.85,2
19.669999999999998,4
19.69,4
20.08,4
16.46,0
23.310000000000002,4
22.439999999999998,4
22.330000000000002,4
22.060000000000002,4
21.88,4
16.75,0
22.87,4
21.92,4
21.58,4
21.759999999999998,4
21.5,4
16.32,0
21.1,4
21.03,4
17.759999999999998,0
16.38,0
20.16,4
20.58,4
21.02,4
20.549999999999997,4
20.46,4
20.45,4
19.41,4
19.47,4
20.79,4
21.08,4
20.75,4
20.64,4
20.66,4
19.490000000000002,4
19.310000000000002,4
20.56,4
20.71,4
20.490000000000002,4
20.39,4
20.33,4
19.310000000000002,4
19.650000000000002,4
20.990000000000002,4
21.1,4
20.700000000000003,4
20.87,4
20.89,4
19.53,4
21.689999999999998,4
23.08,4
23.23,4
23.02,4
23.06,4
22.91,4
21.91,4
17.67,0
15.260000000000002,0
8.95,2
0.09,2
72.62,5
0.09,2
5.9399999999999995,2
6.199999999999999,2
7.050000000000001,2
6.75,2
5.13,2
6.57,2
3.9499999999999997,2
15.32,0
14.95,0
16.52,0
16.740000000000002,0
16.54,0
15.530000000000001,0
17.41,0
17.29,0
14.850000000000001,0
15.16,0
17.71,0
23.009999999999998,4
20.439999999999998,4
18.8,4
18.47,4
21.42,4
17.23,0
17.86,0
19.74,4
18.9,4
15.88,0
15.65,0
15.24,0
12.73,0
12.5,0
12.82,0
19.68,4
18.62,4
20.75,4
19.88,4
19.79,4
21.58,4
19.740000000000002,4
91.78,1
0.09,2
7.02,2
6.7299999999999995,2
6.68,2
6.84,2
6.47,2
6.4799999999999995,2
3.9699999999999998,2
20.13,4
19.080000000000002,4
17.5,0
14.98,0
16.54,0
16.59,0
16.759999999999998,0
16.53,0
24.48,4
23.880000000000003,4
28.259999999999998,4
26.529999999999998,4
20.8,4
24.160000000000004,4
24.16,4
16.89,0
15.52,0
16.38,0
16.28,0
15.370000000000001,0
16.62,0
22.169999999999998,4
17.910000000000004,0
23.259999999999998,4
21.32,4
17.8,0
18.150000000000002,0
21.759999999999998,4
21.259999999999998,4
24.1,4
20.049999999999997,4
18.3,4
18.060000000000002,0
19.009999999999998,4
18.439999999999998,4
18.56,4
13.3,0
13.15,0
16.8,0
18.44,4
16.83,0
17.740000000000002,0
16.26,0
15.180000000000001,0
16.080000000000002,0
19.15,4
19.85,4
22.369999999999997,4
18.66,4
61.47,5
0.09,2
6.8,2
7.779999999999999,2
6.12,2
6.58,2
5.94,2
6.4,2
5.69,2
6.41,2
6.63,2
7.04,2
6.15,2
6.53,2
5.38,2
6.45,2
6.359999999999999,2
6.56,2
5.99,2
6.76,2
5.95,2
6.49,2
6.449999999999999,2
6.5600000000000005,2
5.53,2
20.02,4
19.65,4
19.65,4
20.58,4
20.9,4
19.64,4
19.630000000000003,4
20.03,4
19.93,4
20.29,4
20.950000000000003,4
19.770000000000003,4
19.89,4
20.53,4
19.380000000000003,4
19.69,4
20.84,4
19.58,4
19.93,4
20.740000000000002,4
19.82,4
19.61,4
20.1,4
19.259999999999998,4
19.34,4
20.61,4
19.65,4
19.74,4
19.83,4
19.200000000000003,4
19.46,4
21.14,4
19.87,4
15.48,0
17.52,0
18.12,0
19.490000000000002,4
19.37,4
18.54,4
24.830000000000002,4
25.17,4
21.75,4
22.5,4
20.619999999999997,4
20.36,4
20.65,4
20.84,4
20.06,4
19.97,4
20.65,4
20.29,4
16.189999999999998,0
20.29,4
19.13,4
18.17,0
17.45,0
16.52,0
23.05,4
23.89,4
20.27,4
23.009999999999998,4
16.94,0
19.810000000000002,4
18.09,0
18.25,4
17.419999999999998,0
23.78,4
19.61,4
18.259999999999998,4
22.0,4
19.560000000000002,4
22.349999999999998,4
19.66,4
17.04,0
16.71,0
18.81,4
18.87,4
17.18,0
18.88,4
18.57,4
