,converting_time,page,dpi,c,m,y,k,sum,base_minus_curr_sum,diff
25560,1.150716781616211,1,300,60.88,1.99,52.01,43.08,157.95999999999998,-0.009999999999990905,0.009999999999990905
25561,0.8023979663848877,2,300,0.0,0.0,0.0,0.06,0.06,0.010000000000000009,0.010000000000000009
25562,1.0749778747558594,3,300,3.48,0.14,9.04,2.94,15.6,0.08999999999999986,0.08999999999999986
25563,0.8277580738067627,4,300,0.0,0.34,0.26,2.65,3.25,-0.2599999999999998,0.2599999999999998
25564,0.8140339851379395,5,300,0.0,0.49,0.37,3.74,4.6000000000000005,-0.5700000000000003,0.5700000000000003
25565,0.8112452030181885,6,300,0.0,0.18,0.13,1.39,1.7,-0.19999999999999996,0.19999999999999996
25566,0.8752651214599609,7,300,0.27,0.54,0.99,4.39,6.1899999999999995,-0.6099999999999994,0.6099999999999994
25567,1.0470709800720215,8,300,2.72,0.31,5.63,3.92,12.58,0.27999999999999936,0.27999999999999936
25568,1.0109009742736816,9,300,4.59,2.41,9.9,6.51,23.409999999999997,0.4600000000000044,0.4600000000000044
25569,0.8734579086303711,10,300,0.0,0.0,0.0,0.06,0.06,0.010000000000000009,0.010000000000000009
25570,0.9172816276550293,11,300,0.36,0.4,1.04,3.6,5.4,-0.35000000000000053,0.35000000000000053
25571,0.961785078048706,12,300,0.37,0.34,0.99,3.1,4.8,-0.3799999999999999,0.3799999999999999
25572,0.9263317584991455,13,300,0.27,0.52,0.98,4.22,5.99,-0.5,0.5
25573,0.9182372093200684,14,300,0.0,0.0,0.0,0.06,0.06,0.010000000000000009,0.010000000000000009
25574,0.8446841239929199,15,300,0.27,0.45,0.93,3.67,5.32,-0.4800000000000004,0.4800000000000004
25575,0.828833818435669,16,300,0.27,0.56,1.01,4.5,6.34,-0.5999999999999996,0.5999999999999996
25576,0.814763069152832,17,300,0.27,0.49,0.96,4.02,5.739999999999999,-0.5299999999999985,0.5299999999999985
25577,0.851917028427124,18,300,0.27,0.57,1.02,4.57,6.43,-0.5999999999999996,0.5999999999999996
25578,0.8439528942108154,19,300,0.27,0.57,1.02,4.62,6.48,-0.6100000000000003,0.6100000000000003
25579,0.8445100784301758,20,300,0.31,0.58,1.1,4.87,6.86,-0.71,0.71
25580,0.8389928340911865,21,300,0.27,0.61,1.05,4.93,6.859999999999999,-0.629999999999999,0.629999999999999
25581,0.849315881729126,22,300,0.27,0.56,1.01,4.5,6.34,-0.5899999999999999,0.5899999999999999
25582,0.834439754486084,23,300,0.27,0.56,1.01,4.5,6.34,-0.6099999999999994,0.6099999999999994
25583,0.8449690341949463,24,300,0.27,0.62,1.06,4.98,6.930000000000001,-0.6700000000000008,0.6700000000000008
25584,0.8432772159576416,25,300,0.27,0.58,1.03,4.66,6.54,-0.6100000000000003,0.6100000000000003
25585,0.8223800659179688,26,300,0.27,0.54,1.0,4.38,6.1899999999999995,-0.5699999999999994,0.5699999999999994
25586,0.8216750621795654,27,300,0.27,0.57,1.02,4.6,6.459999999999999,-0.6199999999999992,0.6199999999999992
25587,0.8279011249542236,28,300,0.27,0.59,1.04,4.77,6.67,-0.6100000000000003,0.6100000000000003
25588,0.8267858028411865,29,300,0.27,0.57,1.02,4.56,6.42,-0.6000000000000005,0.6000000000000005
25589,0.8196427822113037,30,300,0.27,0.59,1.04,4.75,6.65,-0.620000000000001,0.620000000000001
25590,0.823915958404541,31,300,0.27,0.59,1.03,4.72,6.609999999999999,-0.6099999999999994,0.6099999999999994
25591,0.8319480419158936,32,300,0.27,0.55,1.0,4.41,6.23,-0.5999999999999996,0.5999999999999996
25592,0.8342938423156738,33,300,0.27,0.65,1.08,5.19,7.19,-0.7000000000000002,0.7000000000000002
25593,0.8124699592590332,34,300,0.27,0.52,0.98,4.21,5.98,-0.5500000000000007,0.5500000000000007
25594,0.8253169059753418,35,300,0.27,0.58,1.03,4.64,6.52,-0.6199999999999992,0.6199999999999992
25595,1.077003002166748,36,300,0.27,0.64,1.07,5.1,7.08,-0.6899999999999995,0.6899999999999995
25596,0.8454909324645996,37,300,0.27,0.57,1.02,4.58,6.4399999999999995,-0.6199999999999992,0.6199999999999992
25597,0.8270320892333984,38,300,0.27,0.52,0.99,4.25,6.03,-0.5499999999999998,0.5499999999999998
25598,0.818619966506958,39,300,0.27,0.54,1.0,4.39,6.199999999999999,-0.5799999999999992,0.5799999999999992
25599,0.8266608715057373,40,300,0.27,0.6,1.05,4.85,6.77,-0.6099999999999994,0.6099999999999994
25600,0.8222992420196533,41,300,0.27,0.54,1.0,4.35,6.16,-0.5700000000000003,0.5700000000000003
25601,0.7934231758117676,42,300,0.0,0.0,0.0,0.06,0.06,0.010000000000000009,0.010000000000000009
25602,0.8585300445556641,43,300,0.27,0.27,0.79,2.33,3.66,-0.25,0.25
25603,0.8303780555725098,44,300,0.27,0.39,0.88,3.25,4.79,-0.41000000000000014,0.41000000000000014
25604,0.842811107635498,45,300,0.27,0.4,0.89,3.33,4.890000000000001,-0.40000000000000036,0.40000000000000036
25605,0.8334441184997559,46,300,0.27,0.09,0.66,0.99,2.01,-0.07999999999999985,0.07999999999999985
25606,0.8472318649291992,47,300,2.21,0.33,6.16,5.08,13.78,0.2400000000000002,0.2400000000000002
25607,0.8610427379608154,48,300,2.26,0.49,6.35,6.35,15.45,0.10000000000000142,0.10000000000000142
25608,1.1878201961517334,49,300,12.73,1.62,22.16,14.31,50.82000000000001,-0.38000000000000256,0.38000000000000256
25609,0.8674161434173584,50,300,0.0,0.0,0.0,0.06,0.06,0.010000000000000009,0.010000000000000009
