,sum,label
0,157.95,3
1,0.07,2
2,15.690000000000001,0
3,2.99,2
4,4.03,2
5,1.5,2
6,5.58,2
7,12.86,0
8,23.869999999999997,4
9,0.07,2
10,5.05,2
11,4.42,2
12,5.49,2
13,0.07,2
14,4.84,2
15,5.74,2
16,5.210000000000001,2
17,5.83,2
18,5.87,2
19,6.15,2
20,6.2299999999999995,2
21,5.75,2
22,5.73,2
23,6.26,2
24,5.93,2
25,5.62,2
26,5.84,2
27,6.06,2
28,5.819999999999999,2
29,6.029999999999999,2
30,6.0,2
31,5.630000000000001,2
32,6.49,2
33,5.43,2
34,5.9,2
35,6.390000000000001,2
36,5.82,2
37,5.48,2
38,5.62,2
39,6.16,2
40,5.59,2
41,0.07,2
42,3.41,2
43,4.38,2
44,4.49,2
45,1.9300000000000002,2
46,14.02,0
47,15.55,0
48,50.440000000000005,5
49,0.07,2
50,6.32,2
51,6.22,2
52,6.24,2
53,5.94,2
54,5.8100000000000005,2
55,20.35,4
56,19.66,4
57,19.759999999999998,4
58,15.5,0
59,23.439999999999998,4
60,22.38,4
61,22.56,4
62,21.99,4
63,22.08,4
64,16.060000000000002,0
65,22.84,4
66,21.78,4
67,21.77,4
68,21.669999999999998,4
69,21.62,4
70,16.32,0
71,21.240000000000002,4
72,21.57,4
73,18.08,4
74,16.22,0
75,20.16,4
76,20.419999999999998,4
77,20.740000000000002,4
78,20.39,4
79,20.36,4
80,20.2,4
81,19.08,4
82,19.03,4
83,20.59,4
84,20.69,4
85,20.53,4
86,20.32,4
87,20.37,4
88,19.04,4
89,18.97,4
90,20.25,4
91,20.55,4
92,20.2,4
93,20.200000000000003,4
94,20.049999999999997,4
95,18.94,4
96,19.2,4
97,20.76,4
98,20.86,4
99,20.7,4
100,20.49,4
101,20.55,4
102,19.22,4
103,21.98,4
104,23.32,4
105,23.6,4
106,23.31,4
107,23.29,4
108,23.099999999999998,4
109,22.07,4
110,17.45,0
111,15.229999999999999,0
112,8.51,2
113,0.07,2
114,76.15,5
115,0.07,2
116,5.790000000000001,2
117,5.88,2
118,6.9799999999999995,2
119,6.41,2
120,5.0,2
121,6.279999999999999,2
122,3.84,2
123,15.620000000000001,0
124,15.02,0
125,16.71,0
126,17.0,0
127,16.53,0
128,15.05,0
129,17.369999999999997,0
130,17.59,0
131,13.82,0
132,14.969999999999999,0
133,17.810000000000002,0
134,22.509999999999998,4
135,20.17,4
136,17.77,0
137,18.150000000000002,4
138,20.75,4
139,16.080000000000002,0
140,16.67,0
141,19.009999999999998,4
142,18.75,4
143,16.59,0
144,14.64,0
145,15.379999999999999,0
146,12.76,0
147,12.72,0
148,12.489999999999998,0
149,19.53,4
150,18.66,4
151,20.6,4
152,19.96,4
153,19.57,4
154,20.939999999999998,4
155,19.75,4
156,94.60000000000001,1
157,0.07,2
158,7.0,2
159,6.46,2
160,6.75,2
161,6.550000000000001,2
162,6.49,2
163,6.279999999999999,2
164,3.9299999999999997,2
165,19.49,4
166,18.52,4
167,17.240000000000002,0
168,14.469999999999999,0
169,16.759999999999998,0
170,16.810000000000002,0
171,16.8,0
172,16.810000000000002,0
173,23.65,4
174,23.580000000000002,4
175,27.58,4
176,26.01,4
177,20.05,4
178,22.9,4
179,23.27,4
180,15.78,0
181,14.739999999999998,0
182,15.969999999999999,0
183,16.03,0
184,15.04,0
185,16.439999999999998,0
186,20.94,4
187,17.220000000000002,0
188,21.509999999999998,4
189,20.57,4
190,17.810000000000002,0
191,18.32,4
192,21.54,4
193,20.57,4
194,23.63,4
195,20.189999999999998,4
196,18.79,4
197,18.42,4
198,18.74,4
199,19.13,4
200,18.689999999999998,4
201,13.299999999999999,0
202,13.43,0
203,16.66,0
204,17.92,0
205,16.64,0
206,17.93,0
207,15.870000000000001,0
208,15.099999999999998,0
209,16.34,0
210,19.259999999999998,4
211,19.96,4
212,22.8,4
213,18.47,4
214,59.50999999999999,5
215,0.07,2
216,6.72,2
217,5.79,2
218,4.859999999999999,2
219,6.279999999999999,2
220,5.89,2
221,6.0200000000000005,2
222,5.54,2
223,6.140000000000001,2
224,6.6899999999999995,2
225,6.779999999999999,2
226,6.11,2
227,6.32,2
228,5.28,2
229,6.09,2
230,6.34,2
231,6.300000000000001,2
232,5.96,2
233,6.49,2
234,5.85,2
235,6.19,2
236,6.47,2
237,6.24,2
238,5.630000000000001,2
239,19.59,4
240,19.25,4
241,19.580000000000002,4
242,20.189999999999998,4
243,20.23,4
244,19.29,4
245,19.73,4
246,19.87,4
247,19.310000000000002,4
248,19.93,4
249,20.37,4
250,19.490000000000002,4
251,19.7,4
252,19.87,4
253,19.33,4
254,19.72,4
255,20.14,4
256,19.3,4
257,19.53,4
258,20.09,4
259,19.36,4
260,19.53,4
261,19.79,4
262,19.17,4
263,19.49,4
264,19.66,4
265,19.09,4
266,19.29,4
267,19.14,4
268,18.63,4
269,18.95,4
270,20.169999999999998,4
271,19.759999999999998,4
272,14.55,0
273,16.909999999999997,0
274,17.7,0
275,18.689999999999998,4
276,19.01,4
277,18.28,4
278,24.38,4
279,24.380000000000003,4
280,21.55,4
281,21.93,4
282,20.37,4
283,19.65,4
284,19.689999999999998,4
285,19.64,4
286,19.39,4
287,19.72,4
288,20.25,4
289,19.24,4
290,16.51,0
291,20.580000000000002,4
292,19.53,4
293,18.45,4
294,17.29,0
295,17.02,0
296,22.29,4
297,23.98,4
298,20.049999999999997,4
299,22.59,4
300,17.18,0
301,20.06,4
302,18.59,4
303,19.029999999999998,4
304,17.41,0
305,23.16,4
306,19.35,4
307,17.73,0
308,22.51,4
309,19.85,4
310,22.57,4
311,19.75,4
312,16.77,0
313,16.48,0
314,17.189999999999998,0
315,17.490000000000002,0
316,17.77,0
317,18.17,4
318,18.709999999999997,4
319,19.67,4
320,11.940000000000001,0
321,15.55,0
322,21.900000000000002,4
323,20.86,4
324,17.87,0
325,17.52,0
326,17.26,0
327,18.28,4
328,18.58,4
329,18.58,4
330,22.61,4
331,22.05,4
332,22.56,4
333,22.439999999999998,4
334,22.29,4
335,23.130000000000003,4
336,22.360000000000003,4
337,23.01,4
338,22.400000000000002,4
339,22.91,4
340,18.45,4
341,20.82,4
342,25.840000000000003,4
343,28.270000000000003,4
344,26.39,4
345,22.459999999999997,4
346,23.11,4
347,25.58,4
348,26.03,4
349,18.36,4
350,17.36,0
351,16.82,0
352,95.78,1
353,0.07,2
354,7.09,2
355,6.48,2
356,6.48,2
357,6.49,2
358,6.41,2
359,6.02,2
360,6.9399999999999995,2
361,6.56,2
362,4.99,2
363,19.93,4
364,20.71,4
365,19.61,4
366,21.65,4
367,21.45,4
368,22.490000000000002,4
369,20.169999999999998,4
370,18.75,4
371,18.05,0
372,20.549999999999997,4
373,18.740000000000002,4
374,18.39,4
375,15.989999999999998,0
376,16.32,0
377,19.23,4
378,19.13,4
379,19.279999999999998,4
380,19.2,4
381,11.85,0
382,11.93,0
383,18.9,4
384,18.53,4
385,19.14,4
386,18.71,4
387,13.129999999999999,0
388,13.46,0
389,19.8,4
390,19.8,4
391,14.599999999999998,0
392,19.619999999999997,4
393,18.599999999999998,4
394,19.410000000000004,4
395,18.56,4
396,10.1,2
397,10.43,0
398,11.91,0
399,10.41,0
400,11.879999999999999,0
401,21.560000000000002,4
402,20.12,4
403,16.11,0
404,21.3,4
405,16.73,0
406,18.869999999999997,4
407,18.439999999999998,4
408,19.38,4
409,18.689999999999998,4
410,19.34,4
411,18.759999999999998,4
412,19.44,4
413,19.270000000000003,4
414,19.35,4
415,18.990000000000002,4
416,19.520000000000003,4
417,18.68,4
418,24.81,4
419,24.22,4
420,24.19,4
421,24.89,4
422,20.96,4
423,19.31,4
424,16.200000000000003,0
425,20.57,4
426,20.7,4
427,19.91,4
428,22.91,4
429,21.330000000000002,4
430,20.63,4
431,20.96,4
432,19.61,4
433,0.07,2
