mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algo__objective,param_algo__max_depth,param_algo__learning_rate,param_algo__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,dpi,training_score,best_score_cv,testing_score,converting_time
0.209530770778656,0.15118759271511772,0.007845163345336914,0.0004019054525123382,multi:softmax,25,0.1,0.1142857142857143,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 25, 'algo__learning_rate': 0.1, 'algo__gamma': 0.1142857142857143}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.1576547622680664,0.0069120962459685905,0.00787121057510376,0.0010748402367037324,multi:softmax,60,0.001,0.6040816326530613,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 60, 'algo__learning_rate': 0.001, 'algo__gamma': 0.6040816326530613}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.2847520709037781,0.04953531027750491,0.008588254451751709,0.00030644506635132984,multi:softprob,25,0.05,0.1469387755102041,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 25, 'algo__learning_rate': 0.05, 'algo__gamma': 0.1469387755102041}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.2291746735572815,0.04409226299492583,0.008240282535552979,0.0007533882872907643,multi:softprob,50,0.001,0.6040816326530613,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.001, 'algo__gamma': 0.6040816326530613}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.17694824934005737,0.009049312445459942,0.007339954376220703,0.0005738537586488182,multi:softprob,50,0.001,0.0816326530612245,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.001, 'algo__gamma': 0.0816326530612245}",1.0,1.0,0.9925902412479594,0.9930981401569636,0.9964220953512307,0.0035824079664948266,9.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.4514104723930359,0.3531007271911811,0.0076607465744018555,0.0011709374867418568,multi:softprob,25,0.01,0.2938775510204082,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 25, 'algo__learning_rate': 0.01, 'algo__gamma': 0.2938775510204082}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.4262849688529968,0.1864992729479847,0.034549713134765625,0.026593078010203768,multi:softmax,60,0.1,0.1959183673469388,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 60, 'algo__learning_rate': 0.1, 'algo__gamma': 0.1959183673469388}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.46112602949142456,0.20016674655982772,0.024493634700775146,0.02878972957830747,multi:softprob,10,0.01,0.3102040816326531,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 10, 'algo__learning_rate': 0.01, 'algo__gamma': 0.3102040816326531}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.22470420598983765,0.018082960055573912,0.007973670959472656,0.00010245911875925664,multi:softprob,45,0.05,0.3918367346938776,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 45, 'algo__learning_rate': 0.05, 'algo__gamma': 0.3918367346938776}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.25198525190353394,0.032015572033269636,0.008351445198059082,0.0006703134535385258,multi:softprob,25,0.001,0.5224489795918368,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 25, 'algo__learning_rate': 0.001, 'algo__gamma': 0.5224489795918368}",1.0,1.0,0.9925902412479594,0.9930981401569636,0.9964220953512307,0.0035824079664948266,9.0,1.0,1.0,0.9981475603119898,1.0,9.124531030654907
0.2037144899368286,0.01067180417850785,0.008450448513031006,0.0003817308685033679,multi:softmax,25,0.001,0.7183673469387756,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 25, 'algo__learning_rate': 0.001, 'algo__gamma': 0.7183673469387756}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,2.0,1.0,0.9981475603119898,1.0,7.2166221141815186
0.2441135048866272,0.04589773239619964,0.007770895957946777,0.0005975252998270204,multi:softmax,55,0.001,0.7673469387755103,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 55, 'algo__learning_rate': 0.001, 'algo__gamma': 0.7673469387755103}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,2.0,1.0,0.9981475603119898,1.0,7.2166221141815186
0.18257033824920654,0.003724518598735757,0.00844794511795044,0.0003062935274640354,multi:softprob,5,0.05,0.34285714285714286,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 5, 'algo__learning_rate': 0.05, 'algo__gamma': 0.34285714285714286}",1.0,1.0,0.9925902412479594,1.0,0.9981475603119898,0.003208519657590637,1.0,2.0,1.0,0.9981475603119898,1.0,7.2166221141815186
