mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algo__objective,param_algo__max_depth,param_algo__learning_rate,param_algo__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,features,dpi,training_score,best_score_cv,testing_score,split4_test_score,converting_time
0.435137414932251,0.08644508255020925,0.00698699951171875,0.00027715638781336343,multi:softmax,45,0.05,0.0163265306122449,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 45, 'algo__learning_rate': 0.05, 'algo__gamma': 0.0163265306122449}",0.8538638985005766,0.8652014247501254,0.7834954258797415,0.8742253599267664,0.8490083194763389,0.03341881257978858,6.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.8682554883244848,9.124531030654907
0.25417799949645997,0.05488965293233606,0.007216548919677735,0.0006097857564734222,multi:softprob,50,0.05,0.4408163265306123,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.05, 'algo__gamma': 0.4408163265306123}",0.8461576485797939,0.8666459759335288,0.8290575243965075,0.8541147166569122,0.853231192554437,0.014848593558902579,2.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.8701800972054432,9.124531030654907
0.6125048637390137,0.5824939954826849,0.007840156555175781,0.0013363510619324448,multi:softmax,60,0.1,0.5877551020408164,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 60, 'algo__learning_rate': 0.1, 'algo__gamma': 0.5877551020408164}",0.8799804739531389,0.8666459759335288,0.8105269140417792,0.8727912008654887,0.8600249323998757,0.025132531350030546,1.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.8701800972054432,9.124531030654907
1.4544463157653809,1.175751931260351,0.007775640487670899,0.0007732477367592734,multi:softmax,5,0.01,0.1795918367346939,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 5, 'algo__learning_rate': 0.01, 'algo__gamma': 0.1795918367346939}",0.8535531859802745,0.83619248371241,0.8234334874165383,0.8727912008654887,0.8510553491382771,0.018950772343252893,5.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.869306387716674,9.124531030654907
0.273244047164917,0.14713225832172416,0.007339382171630859,0.0005084231025387784,multi:softmax,5,0.1,0.3591836734693878,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 5, 'algo__learning_rate': 0.1, 'algo__gamma': 0.3591836734693878}",0.8538638985005766,0.83619248371241,0.8026156981913091,0.8541147166569122,0.8433933788533302,0.023051157355159495,10.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.8701800972054432,9.124531030654907
0.2628394603729248,0.11104456506527753,0.006959962844848633,0.00042754577872122085,multi:softprob,25,0.1,0.4244897959183674,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 25, 'algo__learning_rate': 0.1, 'algo__gamma': 0.4244897959183674}",0.8458559894546054,0.8666459759335288,0.8198735888808528,0.8541147166569122,0.8511593317285147,0.0178034223375695,4.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.869306387716674,9.124531030654907
0.3730942249298096,0.012851670777625774,0.007256793975830078,0.0004078057179908872,multi:softmax,45,0.001,0.4244897959183674,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 45, 'algo__learning_rate': 0.001, 'algo__gamma': 0.4244897959183674}",0.8454159944520796,0.8616927866322539,0.7806746119094786,0.8818900946602947,0.8477959750741562,0.035578560720559156,9.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.869306387716674,9.124531030654907
0.31267385482788085,0.028771670256157015,0.007344627380371093,0.00037487421681990174,multi:softmax,5,0.01,0.0816326530612245,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 5, 'algo__learning_rate': 0.01, 'algo__gamma': 0.0816326530612245}",0.8535531859802745,0.8449099999176136,0.8234334874165383,0.8727912008654887,0.8527988523793179,0.01787355808253,3.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.869306387716674,9.124531030654907
0.3123490333557129,0.02494156885621085,0.007396221160888672,0.0003646136507248506,multi:softprob,60,0.05,0.2612244897959184,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 60, 'algo__learning_rate': 0.05, 'algo__gamma': 0.2612244897959184}",0.8370571758115011,0.8666459759335288,0.794763739085773,0.8651783252067506,0.8483092458259207,0.02996733078469744,7.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.8779010130920502,9.124531030654907
0.2624507904052734,0.004808288873575861,0.007266807556152344,0.0003247038515731182,multi:softprob,55,0.05,0.3591836734693878,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 55, 'algo__learning_rate': 0.05, 'algo__gamma': 0.3591836734693878}",0.8370571758115011,0.8666459759335288,0.8040053001169652,0.8541147166569122,0.8479448363221914,0.025824006529200524,8.0,"['cmy', 'k']",1.0,0.9286817033110097,0.8600249323998757,0.8783813496795732,0.8779010130920502,9.124531030654907
