mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algo__objective,param_algo__max_depth,param_algo__learning_rate,param_algo__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,features,dpi,training_score,best_score_cv,testing_score,param_algo__n_estimators,param_algo__min_samples_leaf,param_algo__max_features,split4_test_score,converting_time
0.6122726440429688,0.12597549605719183,0.034840869903564456,0.011818797295212112,,50,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 5, 'algo__max_features': 0.48571428571428577, 'algo__max_depth': 50}",0.8806030007144735,0.851756960819212,0.8440620395615159,0.8316347013861486,0.8533791896916256,0.01632918727906131,4.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,200,5,0.48571428571428577,0.858839245976778,9.124531030654907
0.57056884765625,0.06705746267229805,0.03341832160949707,0.006917306346444249,,10,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 5, 'algo__max_features': 0.4571428571428572, 'algo__max_depth': 10}",0.8747128228093324,0.8462676449164346,0.8394078314924166,0.8345191001056924,0.8502166224304812,0.014243673567302889,8.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,200,5,0.4571428571428572,0.8561757128285294,9.124531030654907
0.5734480857849121,0.09376948563993816,0.032661962509155276,0.006708711091369628,,55,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 7, 'algo__max_features': 0.5428571428571429, 'algo__max_depth': 55}",0.874655143400795,0.8634653769310461,0.84864542249782,0.8293504180419997,0.855103378959505,0.015333494326657707,1.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,200,7,0.5428571428571429,0.8594005339258635,9.124531030654907
0.5076333999633789,0.0929984951052533,0.030278825759887697,0.005502690245405011,,25,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 7, 'algo__max_features': 0.7428571428571429, 'algo__max_depth': 25}",0.8637383837916894,0.85534054421525,0.8419191628036231,0.8286586896581803,0.8502054761682892,0.013168868661962199,9.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,200,7,0.7428571428571429,0.8613706003727034,9.124531030654907
0.46260695457458495,0.03394853540575955,0.026463842391967772,0.001303874991125449,,55,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 7, 'algo__max_features': 0.7714285714285715, 'algo__max_depth': 55}",0.8747128228093324,0.8561091757790631,0.8394078314924166,0.834298577401774,0.8520762569264517,0.014279189767014394,7.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,200,7,0.7714285714285715,0.8558528771496733,9.124531030654907
0.6822494983673095,0.03523527156840357,0.046845626831054685,0.01709991419100781,,60,,,"{'algo__n_estimators': 300, 'algo__min_samples_leaf': 8, 'algo__max_features': 0.48571428571428577, 'algo__max_depth': 60}",0.8693045456906104,0.8581553462795803,0.8417065571951869,0.8315870397649966,0.8528959542897099,0.014095896785671757,5.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,300,8,0.48571428571428577,0.8637262825181746,9.124531030654907
0.4212210655212402,0.005033385543336656,0.024777030944824217,0.00044436261612289864,,60,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 6, 'algo__max_features': 0.48571428571428577, 'algo__max_depth': 60}",0.8742020636208798,0.8631848726082251,0.836149238612926,0.837293746580037,0.8550058099580683,0.015422047827156097,2.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,200,6,0.48571428571428577,0.8641991283682734,9.124531030654907
0.625074815750122,0.00545455966628867,0.03571419715881348,0.000246348373243332,,60,,,"{'algo__n_estimators': 300, 'algo__min_samples_leaf': 7, 'algo__max_features': 0.4571428571428572, 'algo__max_depth': 60}",0.8886329071011455,0.8559337108895313,0.83266993120754,0.8349683955700896,0.8547151090282019,0.020357407198322408,3.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,300,7,0.4571428571428572,0.8613706003727034,9.124531030654907
0.6827111721038819,0.10239290250642614,0.03552398681640625,0.0005011524187618207,,10,,,"{'algo__n_estimators': 300, 'algo__min_samples_leaf': 6, 'algo__max_features': 0.6857142857142857, 'algo__max_depth': 10}",0.8716705275223572,0.85534054421525,0.8444357597826964,0.8323214684644369,0.852429346979234,0.013283929839467988,6.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,300,6,0.6857142857142857,0.8583784349114301,9.124531030654907
0.4279799461364746,0.002012618046422892,0.02530989646911621,0.0002737521502307528,,25,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 5, 'algo__max_features': 0.6857142857142857, 'algo__max_depth': 25}",0.8636682166724431,0.8467560999801625,0.8370348939614916,0.8341145571009433,0.8485888736175488,0.012141815922933322,10.0,"['cmy', 'k']",1.0,0.9018772093909788,0.855103378959505,0.8582753733594051,200,5,0.6857142857142857,0.8613706003727034,9.124531030654907
0.6043248653411866,0.07447772987580104,0.060820484161376955,0.03963330200881889,,50,,,"{'algo__n_estimators': 200, 'algo__min_samples_leaf': 8, 'algo__max_features': 0.6000000000000001, 'algo__max_depth': 50}",0.8727610635421824,0.8549847974149053,0.8448476970933991,0.9058883788421199,0.8666541390687463,0.021582871915378214,5.0,"['c', 'm', 'y', 'cmyk']",1.0,0.9250987430019482,0.874147539104675,0.861565418034793,200,8,0.6000000000000001,0.8547887584511247,9.124531030654907
