,converting_time,page,dpi,c,m,y,k,sum,base_minus_curr_sum,diff
25616,0.006192207336425781,57,300,3.12,0.03,8.8,4.76,16.71,2.9499999999999993,2.9499999999999993
25617,0.007333278656005859,58,300,2.82,0.07,8.01,4.68,15.579999999999998,4.180000000000003,4.180000000000003
25618,0.007776021957397461,59,300,2.57,0.02,7.53,3.93,14.05,1.4499999999999993,1.4499999999999993
25619,0.005530118942260742,60,300,3.97,0.01,11.12,4.7,19.8,3.6400000000000006,3.6400000000000006
25620,0.005660057067871094,61,300,3.88,0.0,10.88,4.43,19.19,3.1899999999999977,3.1899999999999977
25621,0.0054779052734375,62,300,3.95,0.0,11.03,4.51,19.490000000000002,3.0699999999999967,3.0699999999999967
25622,0.004807949066162109,63,300,3.92,0.0,10.98,4.48,19.380000000000003,2.609999999999996,2.609999999999996
25623,0.005403041839599609,64,300,3.84,0.0,10.75,4.38,18.97,3.1099999999999994,3.1099999999999994
25624,0.004132270812988281,65,300,2.84,0.0,8.15,3.04,14.030000000000001,2.030000000000001,2.030000000000001
25625,0.005855083465576172,66,300,3.9,0.02,10.89,4.43,19.240000000000002,3.599999999999998,3.599999999999998
25626,0.0057718753814697266,67,300,3.82,0.0,10.7,4.14,18.66,3.120000000000001,3.120000000000001
25627,0.0056078433990478516,68,300,3.83,0.0,10.71,4.15,18.69,3.0799999999999983,3.0799999999999983
25628,0.005570173263549805,69,300,3.89,0.0,10.87,4.22,18.98,2.6900000000000013,2.6900000000000013
25629,0.005899667739868164,70,300,3.81,0.0,10.67,4.13,18.61,3.0100000000000016,3.0100000000000016
25630,0.0049190521240234375,71,300,2.88,0.0,8.19,2.91,13.98,2.34,2.34
25631,0.008250236511230469,72,300,3.62,0.0,10.01,4.09,17.72,3.5199999999999996,3.5199999999999996
25632,0.0051000118255615234,73,300,3.61,0.0,9.97,4.06,17.64,3.9299999999999997,3.9299999999999997
25633,0.004565000534057617,74,300,3.09,0.0,8.6,3.37,15.059999999999999,3.0199999999999996,3.0199999999999996
25634,0.005698680877685547,75,300,2.63,0.0,7.38,3.36,13.37,2.8499999999999996,2.8499999999999996
25635,0.009164810180664062,76,300,3.25,0.06,9.03,4.55,16.89,3.2699999999999996,3.2699999999999996
25636,0.005394935607910156,77,300,3.46,0.0,9.63,4.38,17.47,2.950000000000003,2.950000000000003
